reg;gen;planting_date;lon;lat;mai
BA;CLZ002;31/05/2010;-39.5244;-17.5606;0.997407471
BA;CLZ002;31/05/2010;-39.5243;-17.5591;0.43627704
BA;CLZ002;31/05/2010;-39.52565;-17.5719;1.065199478
BA;CLZ002;31/05/2010;-39.5227;-17.5564;1.097217717
BA;CLZ003;30/04/2008;-40.0211;-17.32429;-0.178439578
BA;CLZ003;30/04/2008;-40.0151;-17.3283;-1.241337987
BA;CLZ003;30/04/2008;-40.0165;-17.3251;-0.715638655
BA;CLZ003;30/04/2008;-40.02241667;-17.32166667;-0.321872413
BA;CLZ003;30/04/2008;-40.0232;-17.324425;-0.903859891
BA;CLZ003;30/04/2008;-40.01793;-17.32541;-0.685494
BA;CLZ003;30/04/2008;-40.01551667;-17.3261;-0.032173239
BA;CLZ003;30/04/2008;-40.0212;-17.32985;-0.14289441
BA;CLZ003;30/04/2008;-40.01715;-17.32716667;-0.367843002
BA;CLZ003;30/04/2008;-40.0229;-17.32025;-1.504868649
BA;CLZ003;31/12/2008;-39.8298;-17.5625;1.634582678
BA;CLZ003;31/12/2008;-39.82685;-17.56385;1.580100415
BA;CLZ003;30/11/2009;-39.42604;-17.2867;0.57692465
BA;CLZ001;31/07/2010;-39.63751111;-17.46095556;-0.24237234
BA;CLZ001;31/10/2010;-39.542975;-17.71945;2.10535557
BA;CLZ001;31/10/2010;-39.5397;-17.7144;-0.060408332
BA;CLZ001;31/10/2010;-39.54744;-17.7156;0.939357484
BA;CLZ001;31/10/2010;-39.55381429;-17.70927143;0.858829622
BA;CLZ004;28/10/2016;-39.55406;-17.71024;0.605429919
BA;CLZ001;31/10/2010;-39.5545;-17.7064;0.391134943
BA;CLZ004;15/08/2012;-39.5753;-17.48935;0.06441135
BA;CLZ004;13/08/2012;-39.752;-17.61425;-0.796378917
BA;CLZ001;13/08/2012;-39.75096667;-17.61156667;-0.290644473
BA;CLZ004;30/10/2012;-39.92205;-17.5207;-0.921336234
BA;CLZ004;29/11/2012;-39.7287;-17.5773;-0.728125104
BA;CLZ004;29/11/2012;-39.72655;-17.5774;-0.605038707
BA;CLZ004;29/11/2012;-39.7272;-17.5787;-0.683720562
BA;CLZ001;29/11/2012;-39.7257;-17.5759;-0.836614
BA;CLZ001;29/11/2012;-39.7242;-17.5773;-0.931592657
BA;CLZ004;29/11/2012;-39.7317;-17.5796;0.26238709
BA;CLZ004;29/11/2012;-39.7344;-17.5792;-0.503244388
BA;CLZ004;28/12/2011;-40.424369;-17.548297;-2.587511303
BA;CLZ001;30/10/2011;-40.416372;-17.566994;-1.446615259
BA;CLZ001;30/10/2011;-40.415174;-17.5685;-0.959178252
BA;CLZ001;30/10/2011;-40.4135045;-17.574687;-1.529738031
BA;CLZ001;30/10/2011;-40.418485;-17.5640185;-1.107108765
BA;CLZ004;23/11/2011;-40.42621767;-17.56511667;-1.439116729
BA;CLZ004;23/11/2011;-40.4292;-17.5625;-2.041647517
BA;CLZ004;23/11/2011;-40.426584;-17.5660212;-1.601358943
BA;CLZ004;23/11/2011;-40.4201;-17.568;-1.638169584
BA;CLZ004;23/11/2011;-40.4266555;-17.558347;-2.698548607
BA;CLZ004;23/11/2011;-40.424551;-17.563635;-2.226078558
BA;CLZ001;30/06/2010;-40.0067018;-17.5864932;-0.043891516
BA;CLZ001;30/06/2010;-40.005781;-17.5865966;-0.049916301
BA;CLZ003;29/02/2008;-39.9459;-17.5648;-1.612839282
BA;CLZ003;29/02/2008;-39.9463;-17.5705;-2.271140838
BA;CLZ001;31/10/2011;-39.9676;-17.60052;-0.502980312
BA;CLZ004;31/10/2011;-39.96695;-17.60765;-0.90649547
BA;CLZ004;31/10/2011;-39.9654;-17.6017;-0.979309108
BA;CLZ003;31/12/2009;-39.87857333;-17.58966;-1.640777913
BA;CLZ003;31/12/2009;-39.87928;-17.5892;-1.878513429
BA;CLZ001;29/12/2011;-39.86885;-17.6254;-0.611124649
BA;CLZ004;29/12/2011;-39.86604615;-17.63063077;-0.778774498
BA;CLZ004;29/12/2011;-39.8703;-17.62765;-1.035856521
BA;CLZ003;30/11/2007;-39.8818;-17.6395;-1.763945974
BA;CLZ001;30/06/2010;-40.001679;-17.589301;-0.455854353
BA;CLZ001;30/06/2010;-39.993828;-17.587052;0.005615273
BA;CLZ001;30/06/2010;-39.99580325;-17.588665;0.458655493
BA;CLZ001;30/06/2010;-39.9988528;-17.5911194;-0.318989542
BA;CLZ001;30/06/2010;-39.995616;-17.59512;0.088710848
BA;CLZ001;30/06/2010;-39.991198;-17.5957465;-0.888744059
BA;CLZ001;30/06/2010;-39.991711;-17.59879833;-0.362744166
BA;CLZ003;30/04/2009;-39.8311;-17.5244;-0.620475371
BA;CLZ003;30/04/2009;-39.826775;-17.5196;0.037813416
BA;CLZ003;30/04/2009;-39.823;-17.51773333;0.23014762
BA;CLZ001;31/12/2010;-39.8096;-17.23895;0.296540659
BA;CLZ001;31/12/2010;-39.8105;-17.2382;-0.700996547
BA;CLZ001;31/12/2010;-39.806;-17.2353;0.076275135
BA;CLZ003;30/09/2009;-39.85914545;-17.51092727;-1.408483904
BA;CLZ003;30/09/2009;-39.85298333;-17.51053333;-1.739138861
BA;CLZ003;30/09/2009;-39.8518;-17.5086;-0.829368268
BA;CLZ003;30/09/2009;-39.85265;-17.5004;0.36490582
BA;CLZ003;30/09/2009;-39.8491;-17.5015;0.390985117
BA;CLZ001;30/11/2010;-39.98763883;-17.59175433;0.568620268
BA;CLZ001;30/11/2010;-39.99034567;-17.58990333;0.095667688
BA;CLZ004;30/11/2011;-39.78315;-17.87235;-0.246949471
BA;CLZ004;31/10/2011;-39.78715;-17.852;-0.100284377
BA;CLZ004;31/10/2011;-39.77873333;-17.84693333;0.730729426
BA;CLZ004;29/12/2011;-39.8615885;-17.599625;-0.7648106
BA;CLZ004;29/12/2011;-39.8638165;-17.6048035;-0.413184151
BA;CLZ004;29/12/2011;-39.84504286;-17.6101;-0.802258283
BA;CLZ004;29/12/2011;-39.83842;-17.61198;-0.87819203
BA;CLZ004;31/01/2012;-39.81565;-17.63;-1.101597339
BA;CLZ001;31/01/2012;-39.8133;-17.62603333;-0.717206767
BA;CLZ001;29/12/2011;-39.9412;-17.8811;-1.714993797
BA;CLZ001;29/12/2011;-39.93115;-17.883;-1.440844907
BA;CLZ001;29/12/2011;-39.9327;-17.8822;-0.957300862
BA;CLZ001;29/12/2011;-39.9402;-17.8826;-1.379195638
BA;CLZ001;29/12/2011;-39.9396;-17.879;-1.964319615
BA;CLZ004;31/05/2011;-40.1344;-17.5775;-0.876810605
BA;CLZ004;31/05/2011;-40.12813077;-17.58013077;-1.333093281
